Raw data,,,,Cleaned  data,
Average Price of a product(marked),2509.07457,,,Average Price of a product(marked),2319.886733
Average Price of a product(Dicounted),1515.168757,,,Average Price of a product(Dicounted),1232.146488
Average rating,2.264556118,,,Average rating,4.167857187
Most Expensive Product price(Marked),113999,,,Most Expensive Product price(Marked),44900
Most Expensive Product price(Discounted),45900,,,Most Expensive Product price(Discounted),44900
Least Expensive Product Price(Marked),50,,,Least Expensive Product Price(Marked),50
Least Expensive Product Price(Discounted),49,,,Least Expensive Product Price(Discounted),49
Total people given rating,19267660,,,Total people given rating,18108278
Total no of unique brand,3194,,,Total Product listed,81365
Total Product listed,168029,,,Total unique Brand,2371
Total unique categories,241,,,Total unique categories,305
